RECORD,FOOD,COUNTRY,REGION,COLOR,SEQUENCE
903,HAM,CZECH REPUBLIC,SOUTH,BLUE,B
904,EGGS,CZECH REPUBLIC,SOUTH,GREEN,C
905,PORKCHOP,CZECH REPUBLIC,SOUTH,YELLOW,D
906,POTATOES,CZECH REPUBLIC,SOUTH,PURPLE,E
907,NOODLES,CZECH REPUBLIC,SOUTH,ORANGE,F
908,HASHBROWNS,CZECH REPUBLIC,SOUTH,BLACK,A
909,PEACHES,CZECH REPUBLIC,SOUTH,WHITE,B
910,STRAWBERRY,CZECH REPUBLIC,SOUTH,GRAY,C
911,CHICKEN,CZECH REPUBLIC,SOUTH,TEAL,D
912,NUGGET,CZECH REPUBLIC,SOUTH,VIOLET,E
913,PIZZA,CZECH REPUBLIC,SOUTH,BROWN,F
914,PASTA,CZECH REPUBLIC,SOUTH,RED,A
915,ALFREDO,CZECH REPUBLIC,SOUTH,BLUE,B
916,TACO,CZECH REPUBLIC,SOUTH,GREEN,C
917,CHEESEBURGER,CZECH REPUBLIC,SOUTH,YELLOW,D
918,BURRITO,CZECH REPUBLIC,SOUTH,PURPLE,E
919,CAKE,CZECH REPUBLIC,SOUTH,ORANGE,F
920,CUPCAKE,CZECH REPUBLIC,SOUTH,BLACK,A
921,STEAK,CZECH REPUBLIC,SOUTH,WHITE,B
922,HAM,CZECH REPUBLIC,SOUTH,GRAY,C
923,EGGS,CZECH REPUBLIC,SOUTH,TEAL,D
924,PORKCHOP,CZECH REPUBLIC,SOUTH,VIOLET,E
925,POTATOES,CZECH REPUBLIC,SOUTH,BROWN,F
926,NOODLES,CZECH REPUBLIC,SOUTH,RED,A
927,HASHBROWNS,CZECH REPUBLIC,SOUTH,BLUE,B
928,PEACHES,CZECH REPUBLIC,SOUTH,GREEN,C
929,STRAWBERRY,CZECH REPUBLIC,SOUTH,YELLOW,D
930,CHICKEN,MEXICO,SOUTH,PURPLE,E
931,NUGGET,MEXICO,SOUTH,ORANGE,F
932,PIZZA,MEXICO,SOUTH,BLACK,A
933,PASTA,MEXICO,SOUTH,WHITE,B
934,ALFREDO,MEXICO,SOUTH,GRAY,C
935,TACO,MEXICO,SOUTH,TEAL,D
936,CHEESEBURGER,MEXICO,SOUTH,VIOLET,E
937,BURRITO,MEXICO,SOUTH,BROWN,F
938,CAKE,MEXICO,SOUTH,RED,A
939,CUPCAKE,MEXICO,SOUTH,BLUE,B
940,STEAK,MEXICO,SOUTH,GREEN,C
941,HAM,MEXICO,SOUTH,YELLOW,D
942,EGGS,MEXICO,SOUTH,PURPLE,E
943,PORKCHOP,MEXICO,SOUTH,ORANGE,F
944,POTATOES,MEXICO,SOUTH,BLACK,A
945,NOODLES,MEXICO,SOUTH,WHITE,B
946,HASHBROWNS,MEXICO,SOUTH,GRAY,C
947,PEACHES,MEXICO,SOUTH,TEAL,D
948,STRAWBERRY,MEXICO,SOUTH,VIOLET,E
949,CHICKEN,MEXICO,SOUTH,BROWN,F
950,NUGGET,MEXICO,SOUTH,RED,A
951,PIZZA,MEXICO,SOUTH,BLUE,B
952,PASTA,MEXICO,SOUTH,GREEN,C
953,ALFREDO,MEXICO,SOUTH,YELLOW,D
954,TACO,MEXICO,SOUTH,PURPLE,E
955,CHEESEBURGER,MEXICO,SOUTH,ORANGE,F
956,BURRITO,MEXICO,SOUTH,BLACK,A
957,CAKE,MEXICO,SOUTH,WHITE,B
958,CUPCAKE,MEXICO,SOUTH,GRAY,C
959,STEAK,MEXICO,SOUTH,TEAL,D
960,HAM,MEXICO,SOUTH,VIOLET,E
961,EGGS,MEXICO,SOUTH,BROWN,F
962,PORKCHOP,MEXICO,SOUTH,RED,A
963,POTATOES,MEXICO,SOUTH,BLUE,B
964,NOODLES,MEXICO,SOUTH,GREEN,C
965,HASHBROWNS,MEXICO,SOUTH,YELLOW,D
966,PEACHES,MEXICO,SOUTH,PURPLE,E
967,STRAWBERRY,MEXICO,SOUTH,ORANGE,F
968,CHICKEN,MEXICO,SOUTH,BLACK,A
969,NUGGET,MEXICO,SOUTH,WHITE,B
970,PIZZA,MEXICO,SOUTH,GRAY,C
971,PASTA,MEXICO,SOUTH,TEAL,D
972,ALFREDO,MEXICO,SOUTH,VIOLET,E
973,TACO,MEXICO,SOUTH,BROWN,F
974,CHEESEBURGER,MEXICO,SOUTH,RED,A
975,BURRITO,MEXICO,SOUTH,BLUE,B
976,CAKE,MEXICO,SOUTH,GREEN,C
977,CUPCAKE,MEXICO,SOUTH,YELLOW,D
978,STEAK,MEXICO,SOUTH,PURPLE,E
979,HAM,MEXICO,SOUTH,ORANGE,F
980,EGGS,MEXICO,SOUTH,BLACK,A
981,PORKCHOP,MEXICO,SOUTH,WHITE,B
982,POTATOES,MEXICO,SOUTH,GRAY,C
983,NOODLES,MEXICO,SOUTH,TEAL,D
984,HASHBROWNS,MEXICO,SOUTH,VIOLET,E
985,PEACHES,MEXICO,SOUTH,BROWN,F
986,STRAWBERRY,MEXICO,SOUTH,RED,A
987,CHICKEN,MEXICO,SOUTH,BLUE,B
988,NUGGET,MEXICO,SOUTH,GREEN,C
989,PIZZA,MEXICO,SOUTH,YELLOW,D
990,PASTA,MEXICO,SOUTH,PURPLE,E
991,ALFREDO,MEXICO,SOUTH,ORANGE,F
992,TACO,MEXICO,SOUTH,BLACK,A
993,CHEESEBURGER,MEXICO,SOUTH,WHITE,B
994,BURRITO,MEXICO,SOUTH,GRAY,C
995,CAKE,MEXICO,SOUTH,TEAL,D
996,CUPCAKE,MEXICO,SOUTH,VIOLET,E
997,STEAK,MEXICO,SOUTH,BROWN,F
998,HAM,MEXICO,SOUTH,RED,A
999,EGGS,MEXICO,SOUTH,BLUE,B
1000,PORKCHOP,MEXICO,SOUTH,GREEN,C
1001,POTATOES,MEXICO,SOUTH,YELLOW,D
1002,NOODLES,MEXICO,SOUTH,PURPLE,E
1003,HASHBROWNS,MEXICO,SOUTH,ORANGE,F
1004,PEACHES,MEXICO,SOUTH,BLACK,A
1005,STRAWBERRY,MEXICO,SOUTH,WHITE,B
1006,CHICKEN,MEXICO,SOUTH,GRAY,C
1007,NUGGET,MEXICO,SOUTH,TEAL,D
1008,PIZZA,MEXICO,SOUTH,VIOLET,E
1009,PASTA,MEXICO,SOUTH,BROWN,F
1010,ALFREDO,MEXICO,SOUTH,RED,A
1011,TACO,MEXICO,SOUTH,BLUE,B
1012,CHEESEBURGER,MEXICO,SOUTH,GREEN,C
1013,BURRITO,MEXICO,SOUTH,YELLOW,D
1014,CAKE,MEXICO,SOUTH,PURPLE,E
1015,CUPCAKE,MEXICO,SOUTH,ORANGE,F
1016,STEAK,MEXICO,SOUTH,BLACK,A
1017,HAM,MEXICO,SOUTH,WHITE,B
1018,EGGS,MEXICO,SOUTH,GRAY,C
1019,PORKCHOP,MEXICO,SOUTH,TEAL,D
1020,POTATOES,MEXICO,SOUTH,VIOLET,E
1021,NOODLES,MEXICO,SOUTH,BROWN,F
1022,HASHBROWNS,MEXICO,SOUTH,RED,A
1023,PEACHES,MEXICO,SOUTH,BLUE,B
1024,STRAWBERRY,MEXICO,SOUTH,GREEN,C
1025,CHICKEN,MEXICO,SOUTH,YELLOW,D
1026,NUGGET,MEXICO,SOUTH,PURPLE,E
1027,PIZZA,MEXICO,SOUTH,ORANGE,F
1028,PASTA,MEXICO,SOUTH,BLACK,A
1029,ALFREDO,MEXICO,SOUTH,WHITE,B
1030,TACO,MEXICO,SOUTH,GRAY,C
1031,CHEESEBURGER,MEXICO,SOUTH,TEAL,D
1032,BURRITO,MEXICO,SOUTH,VIOLET,E
1033,CAKE,MEXICO,SOUTH,BROWN,F
1034,CUPCAKE,MEXICO,SOUTH,RED,A
1035,STEAK,MEXICO,SOUTH,BLUE,B
1036,HAM,MEXICO,SOUTH,GREEN,C
1037,EGGS,MEXICO,SOUTH,YELLOW,D
1038,PORKCHOP,MEXICO,SOUTH,PURPLE,E
1039,POTATOES,MEXICO,SOUTH,ORANGE,F
1040,NOODLES,MEXICO,SOUTH,BLACK,A
1041,HASHBROWNS,MEXICO,SOUTH,WHITE,B
1042,PEACHES,MEXICO,SOUTH,GRAY,C
1043,STRAWBERRY,MEXICO,SOUTH,TEAL,D
1044,CHICKEN,MEXICO,SOUTH,VIOLET,E
1045,NUGGET,MEXICO,SOUTH,BROWN,F
1046,PIZZA,MEXICO,SOUTH,RED,A
1047,PASTA,MEXICO,SOUTH,BLUE,B
1048,ALFREDO,MEXICO,SOUTH,GREEN,C
1049,TACO,MEXICO,SOUTH,YELLOW,D
1050,CHEESEBURGER,MEXICO,SOUTH,PURPLE,E
1051,BURRITO,MEXICO,SOUTH,ORANGE,F
1052,CAKE,MEXICO,SOUTH,BLACK,A
1053,CUPCAKE,MEXICO,SOUTH,WHITE,B
1054,STEAK,MEXICO,SOUTH,GRAY,C
1055,HAM,MEXICO,SOUTH,TEAL,D
1056,EGGS,MEXICO,SOUTH,VIOLET,E
1057,PORKCHOP,MEXICO,SOUTH,BROWN,F
1058,POTATOES,MEXICO,SOUTH,RED,A
1059,NOODLES,MEXICO,SOUTH,BLUE,B
1060,HASHBROWNS,MEXICO,SOUTH,GREEN,C
1061,PEACHES,MEXICO,SOUTH,YELLOW,D
1062,STRAWBERRY,MEXICO,SOUTH,PURPLE,E
1063,CHICKEN,MEXICO,SOUTH,ORANGE,F
1064,NUGGET,MEXICO,SOUTH,BLACK,A
1065,PIZZA,MEXICO,SOUTH,WHITE,B
1066,PASTA,MEXICO,SOUTH,GRAY,C
1067,ALFREDO,MEXICO,SOUTH,TEAL,D
1068,TACO,MEXICO,SOUTH,VIOLET,E
1069,CHEESEBURGER,MEXICO,SOUTH,BROWN,F
1070,BURRITO,MEXICO,SOUTH,RED,A
1071,CAKE,MEXICO,SOUTH,BLUE,B
1072,CUPCAKE,MEXICO,SOUTH,GREEN,C
1073,STEAK,MEXICO,SOUTH,YELLOW,D
1074,HAM,MEXICO,SOUTH,PURPLE,E
1075,EGGS,MEXICO,SOUTH,ORANGE,F
1076,PORKCHOP,MEXICO,SOUTH,BLACK,A
1077,POTATOES,MEXICO,SOUTH,WHITE,B
1078,NOODLES,MEXICO,SOUTH,GRAY,C
1079,HASHBROWNS,MEXICO,SOUTH,TEAL,D
1080,PEACHES,MEXICO,SOUTH,VIOLET,E
1081,STRAWBERRY,MEXICO,SOUTH,BROWN,F
1082,CHICKEN,MEXICO,SOUTH,RED,A
1083,NUGGET,MEXICO,SOUTH,BLUE,B
1084,PIZZA,MEXICO,SOUTH,GREEN,C
1085,PASTA,MEXICO,SOUTH,YELLOW,D
1086,ALFREDO,MEXICO,SOUTH,PURPLE,E
1087,TACO,MEXICO,SOUTH,ORANGE,F
1088,CHEESEBURGER,MEXICO,SOUTH,BLACK,A
1089,BURRITO,MEXICO,SOUTH,WHITE,B
1090,CAKE,MEXICO,SOUTH,GRAY,C
1091,CUPCAKE,MEXICO,SOUTH,TEAL,D
1092,STEAK,MEXICO,SOUTH,VIOLET,E
1093,HAM,MEXICO,SOUTH,BROWN,F
1094,EGGS,MEXICO,SOUTH,RED,A
1095,PORKCHOP,MEXICO,SOUTH,BLUE,B
1096,POTATOES,MEXICO,SOUTH,GREEN,C
1097,NOODLES,MEXICO,SOUTH,YELLOW,D
1098,HASHBROWNS,MEXICO,SOUTH,PURPLE,E
1099,PEACHES,MEXICO,SOUTH,ORANGE,F
1100,STRAWBERRY,MEXICO,SOUTH,BLACK,A
1101,CHICKEN,MEXICO,SOUTH,WHITE,B
1102,NUGGET,MEXICO,SOUTH,GRAY,C
1103,PIZZA,MEXICO,SOUTH,TEAL,D
1104,PASTA,MEXICO,SOUTH,VIOLET,E
1105,ALFREDO,MEXICO,SOUTH,BROWN,F
1106,TACO,MEXICO,SOUTH,RED,A
1107,CHEESEBURGER,MEXICO,SOUTH,BLUE,B
1108,BURRITO,MEXICO,SOUTH,GREEN,C
1109,CAKE,MEXICO,SOUTH,YELLOW,D
1110,CUPCAKE,MEXICO,SOUTH,PURPLE,E
1111,STEAK,MEXICO,SOUTH,ORANGE,F
1112,HAM,MEXICO,SOUTH,BLACK,A
1113,EGGS,MEXICO,SOUTH,WHITE,B
1114,PORKCHOP,MEXICO,SOUTH,GRAY,C
1115,POTATOES,MEXICO,SOUTH,TEAL,D
1116,NOODLES,MEXICO,SOUTH,VIOLET,E
1117,HASHBROWNS,MEXICO,SOUTH,BROWN,F
1118,PEACHES,MEXICO,SOUTH,RED,A
1119,STRAWBERRY,MEXICO,SOUTH,BLUE,B
1120,CHICKEN,MEXICO,SOUTH,GREEN,C
1121,NUGGET,MEXICO,SOUTH,YELLOW,D
1122,PIZZA,MEXICO,SOUTH,PURPLE,E
1123,PASTA,MEXICO,SOUTH,ORANGE,F
1124,ALFREDO,MEXICO,SOUTH,BLACK,A
1125,TACO,MEXICO,SOUTH,WHITE,B
1126,CHEESEBURGER,MEXICO,SOUTH,GRAY,C
1127,BURRITO,MEXICO,SOUTH,TEAL,D
1128,CAKE,MEXICO,SOUTH,VIOLET,E
1129,CUPCAKE,MEXICO,SOUTH,BROWN,F
1130,STEAK,MEXICO,SOUTH,RED,A
1131,HAM,MEXICO,SOUTH,BLUE,B
1132,EGGS,MEXICO,SOUTH,GREEN,C
1133,PORKCHOP,MEXICO,SOUTH,YELLOW,D
1134,POTATOES,MEXICO,SOUTH,PURPLE,E
1135,NOODLES,MEXICO,SOUTH,ORANGE,F
1136,HASHBROWNS,MEXICO,SOUTH,BLACK,A
1137,PEACHES,MEXICO,SOUTH,WHITE,B
1138,STRAWBERRY,MEXICO,SOUTH,GRAY,C
1139,CHICKEN,MEXICO,SOUTH,TEAL,D
1140,NUGGET,MEXICO,SOUTH,VIOLET,E
1141,PIZZA,MEXICO,SOUTH,BROWN,F
1142,PASTA,MEXICO,SOUTH,RED,A
1143,ALFREDO,MEXICO,SOUTH,BLUE,B
1144,TACO,MEXICO,SOUTH,GREEN,C
1145,CHEESEBURGER,MEXICO,SOUTH,YELLOW,D
1146,BURRITO,MEXICO,SOUTH,PURPLE,E
1147,CAKE,MEXICO,SOUTH,ORANGE,F
1148,CUPCAKE,MEXICO,SOUTH,BLACK,A
1149,STEAK,MEXICO,SOUTH,WHITE,B
1150,HAM,MEXICO,SOUTH,GRAY,C
1151,EGGS,MEXICO,SOUTH,TEAL,D
1152,PORKCHOP,MEXICO,SOUTH,VIOLET,E
1153,POTATOES,MEXICO,SOUTH,BROWN,F
1154,NOODLES,MEXICO,SOUTH,RED,A
1155,HASHBROWNS,MEXICO,SOUTH,BLUE,B
1156,PEACHES,MEXICO,SOUTH,GREEN,C
1157,STRAWBERRY,MEXICO,SOUTH,YELLOW,D
1158,CHICKEN,MEXICO,SOUTH,PURPLE,E
1159,NUGGET,MEXICO,SOUTH,ORANGE,F
1160,PIZZA,MEXICO,SOUTH,BLACK,A
1161,PASTA,MEXICO,SOUTH,WHITE,B
1162,ALFREDO,MEXICO,SOUTH,GRAY,C
1163,TACO,MEXICO,SOUTH,TEAL,D
1164,CHEESEBURGER,MEXICO,SOUTH,VIOLET,E
1165,BURRITO,MEXICO,SOUTH,BROWN,F
1166,CAKE,MEXICO,SOUTH,RED,A
1167,CUPCAKE,MEXICO,SOUTH,BLUE,B
1168,STEAK,MEXICO,SOUTH,GREEN,C
1169,HAM,MEXICO,SOUTH,YELLOW,D
1170,EGGS,MEXICO,SOUTH,PURPLE,E
1171,PORKCHOP,MEXICO,SOUTH,ORANGE,F
1172,POTATOES,MEXICO,SOUTH,BLACK,A
1173,NOODLES,MEXICO,SOUTH,WHITE,B
1174,HASHBROWNS,MEXICO,SOUTH,GRAY,C
1175,PEACHES,MEXICO,SOUTH,TEAL,D
1176,STRAWBERRY,MEXICO,SOUTH,VIOLET,E
1177,CHICKEN,MEXICO,SOUTH,BROWN,F
1178,NUGGET,MEXICO,SOUTH,RED,A
1179,PIZZA,MEXICO,SOUTH,BLUE,B
1180,PASTA,MEXICO,SOUTH,GREEN,C
1181,ALFREDO,MEXICO,SOUTH,YELLOW,D
1182,TACO,MEXICO,SOUTH,PURPLE,E
1183,CHEESEBURGER,MEXICO,SOUTH,ORANGE,F
1184,BURRITO,MEXICO,SOUTH,BLACK,A
1185,CAKE,MEXICO,SOUTH,WHITE,B
1186,CUPCAKE,MEXICO,SOUTH,GRAY,C
1187,STEAK,MEXICO,SOUTH,TEAL,D
1188,HAM,MEXICO,SOUTH,VIOLET,E
1189,EGGS,MEXICO,NORTH,BROWN,F
1190,PORKCHOP,MEXICO,NORTH,RED,A
1191,POTATOES,MEXICO,NORTH,BLUE,B
1192,NOODLES,MEXICO,EAST,GREEN,C
1193,HASHBROWNS,MEXICO,EAST,YELLOW,D
1194,PEACHES,MEXICO,EAST,PURPLE,E
1195,STRAWBERRY,MEXICO,EAST,ORANGE,F
1196,CHICKEN,MEXICO,EAST,BLACK,A
1197,NUGGET,MEXICO,EAST,WHITE,B
1198,PIZZA,MEXICO,EAST,GRAY,C
1199,PASTA,MEXICO,EAST,TEAL,D
1200,ALFREDO,MEXICO,EAST,VIOLET,E
1201,TACO,MEXICO,EAST,BROWN,F
1202,CHEESEBURGER,MEXICO,EAST,RED,A
1203,BURRITO,MEXICO,EAST,BLUE,B
1204,CAKE,MEXICO,EAST,GREEN,C
1205,CUPCAKE,MEXICO,EAST,YELLOW,D
1206,STEAK,MEXICO,EAST,PURPLE,E
1207,HAM,MEXICO,EAST,ORANGE,F
1208,EGGS,MEXICO,EAST,BLACK,A
1209,PORKCHOP,MEXICO,EAST,WHITE,B
1210,POTATOES,MEXICO,EAST,GRAY,C
1211,NOODLES,MEXICO,EAST,TEAL,D
1212,HASHBROWNS,MEXICO,EAST,VIOLET,E
1213,PEACHES,JAPAN,EAST,BROWN,F
1214,STRAWBERRY,JAPAN,EAST,RED,A
1215,CHICKEN,JAPAN,EAST,BLUE,B
1216,NUGGET,JAPAN,EAST,GREEN,C
1217,PIZZA,JAPAN,EAST,YELLOW,D
1218,PASTA,JAPAN,EAST,PURPLE,E
1219,ALFREDO,JAPAN,EAST,ORANGE,F
1220,TACO,JAPAN,EAST,BLACK,A
1221,CHEESEBURGER,JAPAN,EAST,WHITE,B
1222,BURRITO,JAPAN,EAST,GRAY,C
1223,CAKE,JAPAN,EAST,TEAL,D
1224,CUPCAKE,JAPAN,EAST,VIOLET,E
1225,STEAK,JAPAN,EAST,BROWN,F
1226,HAM,JAPAN,EAST,RED,A
1227,EGGS,JAPAN,EAST,BLUE,B
1228,PORKCHOP,JAPAN,EAST,GREEN,C
1229,POTATOES,JAPAN,EAST,YELLOW,D
1230,NOODLES,JAPAN,EAST,PURPLE,E
1231,HASHBROWNS,JAPAN,EAST,ORANGE,F
1232,PEACHES,JAPAN,EAST,BLACK,A
1233,STRAWBERRY,JAPAN,EAST,WHITE,B
1234,CHICKEN,JAPAN,EAST,GRAY,C
1235,NUGGET,JAPAN,EAST,TEAL,D
1236,PIZZA,JAPAN,EAST,VIOLET,E
1237,PASTA,JAPAN,EAST,BROWN,F
1238,ALFREDO,JAPAN,EAST,RED,A
1239,TACO,JAPAN,EAST,BLUE,B
1240,CHEESEBURGER,JAPAN,EAST,GREEN,C
1241,BURRITO,JAPAN,EAST,YELLOW,D
1242,CAKE,JAPAN,EAST,PURPLE,E
1243,CUPCAKE,JAPAN,EAST,ORANGE,F
